,year_film,year_ceremony,ceremony,category,film,winner,name
43,1928,1929,2,art direction,Alibi,False,William Cameron Menzies
44,1928,1929,2,art direction,Street Angel,False,Harry Oliver
45,1928,1929,2,cinematography,Our Dancing Daughters,False,George Barnes
46,1928,1929,2,cinematography,White Shadows in the South Seas,True,Clyde De Vinna
47,1928,1929,2,cinematography,In Old Arizona,False,Arthur Edeson
48,1928,1929,2,cinematography,Four Devils,False,Ernest Palmer
49,1928,1929,2,cinematography,The Divine Lady,False,John Seitz
50,1928,1929,2,directing,Madame X,False,Lionel Barrymore
51,1928,1929,2,directing,The Broadway Melody,False,Harry Beaumont
52,1928,1929,2,directing,In Old Arizona,False,Irving Cummings
53,1928,1929,2,directing,The Divine Lady,True,Frank Lloyd
54,1928,1929,2,directing,Drag,False,Frank Lloyd
55,1928,1929,2,directing,The Patriot,False,Ernst Lubitsch
56,1928,1929,2,outstanding picture,Alibi,False,Feature Productions
57,1928,1929,2,outstanding picture,In Old Arizona,False,Fox
58,1928,1929,2,outstanding picture,The Broadway Melody,True,Metro-Goldwyn-Mayer
59,1928,1929,2,outstanding picture,Hollywood Revue,False,Metro-Goldwyn-Mayer
60,1928,1929,2,outstanding picture,The Patriot,False,Paramount Famous Lasky
61,1928,1929,2,writing,In Old Arizona,False,Tom Barry
62,1928,1929,2,writing,The Cop,False,Elliott Clawson
63,1928,1929,2,writing,The Last of Mrs. Cheyney,False,Hans Kraly
64,1928,1929,2,writing,The Patriot,True,Hans Kraly
65,1928,1929,2,writing,Our Dancing Daughters,False,Josephine Lovett
66,1928,1929,2,writing,A Woman of Affairs,False,Bess Meredyth
67,1929,1930,3,actor,Disraeli,True,George Arliss
68,1929,1930,3,actor,The Green Goddess,False,George Arliss
69,1929,1930,3,actor,The Big House,False,Wallace Beery
70,1929,1930,3,actor,The Big Pond,False,Maurice Chevalier
71,1929,1930,3,actor,Bulldog Drummond,False,Ronald Colman
72,1929,1930,3,actor,The Rogue Song,False,Lawrence Tibbett
73,1929,1930,3,actress,The Devil's Holiday,False,Nancy Carroll
74,1929,1930,3,actress,Sarah and Son,False,Ruth Chatterton
75,1929,1930,3,actress,Anna Christie,False,Greta Garbo
76,1929,1930,3,actress,The Divorcee,True,Norma Shearer
77,1929,1930,3,actress,Their Own Desire,False,Norma Shearer
78,1929,1930,3,actress,The Trespasser,False,Gloria Swanson
79,1929,1930,3,art direction,Bulldog Drummond,False,William Cameron Menzies
80,1929,1930,3,art direction,King of Jazz,True,Herman Rosse
81,1929,1930,3,art direction,The Love Parade,False,Hans Dreier
82,1929,1930,3,art direction,Sally,False,Jack Okey
83,1929,1930,3,art direction,The Vagabond King,False,Hans Dreier
84,1929,1930,3,cinematography,All Quiet on the Western Front,False,Arthur Edeson
85,1929,1930,3,cinematography,Anna Christie,False,William Daniels
86,1929,1930,3,cinematography,Hell's Angels,False,Gaetano Gaudio
87,1929,1930,3,cinematography,Hell's Angels,False,Harry Perry
88,1929,1930,3,cinematography,The Love Parade,False,Victor Milner
89,1929,1930,3,cinematography,With Byrd at the South Pole,True,Joseph T. Rucker
90,1929,1930,3,cinematography,With Byrd at the South Pole,True,Willard Van Der Veer
91,1929,1930,3,directing,Anna Christie,False,Clarence Brown
92,1929,1930,3,directing,The Divorcee,False,Robert Leonard
93,1929,1930,3,directing,The Love Parade,False,Ernst Lubitsch
94,1929,1930,3,directing,All Quiet on the Western Front,True,Lewis Milestone
95,1929,1930,3,directing,Hallelujah,False,King Vidor
96,1929,1930,3,outstanding production,All Quiet on the Western Front,True,Universal
97,1929,1930,3,outstanding production,The Big House,False,Cosmopolitan
98,1929,1930,3,outstanding production,Disraeli,False,Warner Bros.
99,1929,1930,3,outstanding production,The Divorcee,False,Metro-Goldwyn-Mayer
100,1929,1930,3,outstanding production,The Love Parade,False,Paramount Famous Lasky
101,1929,1930,3,sound recording,The Big House,True,Metro-Goldwyn-Mayer Studio Sound Department
102,1929,1930,3,sound recording,The Big House,True,Douglas Shearer
104,1929,1930,3,sound recording,The Case of Sergeant Grischa,False,RKO Radio Studio Sound Department
105,1929,1930,3,sound recording,The Case of Sergeant Grischa,False,John Tribby
107,1929,1930,3,sound recording,The Love Parade,False,Paramount Famous Lasky Studio Sound Department
108,1929,1930,3,sound recording,The Love Parade,False,Franklin Hansen
110,1929,1930,3,sound recording,Raffles,False,United Artists Studio Sound Department
111,1929,1930,3,sound recording,Raffles,False,Oscar Lagerstrom
113,1929,1930,3,sound recording,Song of the Flame,False,First National Studio Sound Department
114,1929,1930,3,sound recording,Song of the Flame,False,George Groves
116,1929,1930,3,writing,All Quiet on the Western Front,False,George Abbott
117,1929,1930,3,writing,All Quiet on the Western Front,False,Maxwell Anderson
118,1929,1930,3,writing,All Quiet on the Western Front,False,Del Andrews
119,1929,1930,3,writing,The Big House,True,Frances Marion
120,1929,1930,3,writing,Disraeli,False,Julian Josephson
121,1929,1930,3,writing,The Divorcee,False,John Meehan
122,1929,1930,3,writing,Street of Chance,False,Howard Estabrook
123,1930,1931,4,actor,A Free Soul,True,Lionel Barrymore
124,1930,1931,4,actor,Skippy,False,Jackie Cooper
125,1930,1931,4,actor,Cimarron,False,Richard Dix
126,1930,1931,4,actor,The Royal Family of Broadway,False,Fredric March
127,1930,1931,4,actor,The Front Page,False,Adolphe Menjou
128,1930,1931,4,actress,Morocco,False,Marlene Dietrich
129,1930,1931,4,actress,Min and Bill,True,Marie Dressler
130,1930,1931,4,actress,Cimarron,False,Irene Dunne
131,1930,1931,4,actress,Holiday,False,Ann Harding
132,1930,1931,4,actress,A Free Soul,False,Norma Shearer
133,1930,1931,4,art direction,Cimarron,True,Max Rée
134,1930,1931,4,art direction,Just Imagine,False,Stephen Goosson
135,1930,1931,4,art direction,Just Imagine,False,Ralph Hammeras
136,1930,1931,4,art direction,Morocco,False,Hans Dreier
137,1930,1931,4,art direction,Svengali,False,Anton Grot
138,1930,1931,4,art direction,Whoopee!,False,Richard Day
139,1930,1931,4,cinematography,Cimarron,False,Edward Cronjager
140,1930,1931,4,cinematography,Morocco,False,Lee Garmes
141,1930,1931,4,cinematography,The Right to Love,False,Charles Lang
142,1930,1931,4,cinematography,Svengali,False,"Barney ""Chick"" McGill"
143,1930,1931,4,cinematography,Tabu,True,Floyd Crosby
144,1930,1931,4,directing,Cimarron,False,Wesley Ruggles
145,1930,1931,4,directing,A Free Soul,False,Clarence Brown
146,1930,1931,4,directing,The Front Page,False,Lewis Milestone
147,1930,1931,4,directing,Morocco,False,Josef Von Sternberg
148,1930,1931,4,directing,Skippy,True,Norman Taurog
149,1930,1931,4,outstanding production,Cimarron,True,RKO Radio
150,1930,1931,4,outstanding production,East Lynne,False,Fox
151,1930,1931,4,outstanding production,The Front Page,False,The Caddo Company
152,1930,1931,4,outstanding production,Skippy,False,Paramount Publix
153,1930,1931,4,outstanding production,Trader Horn,False,Metro-Goldwyn-Mayer
154,1930,1931,4,writing (adaptation),Cimarron,True,Howard Estabrook
155,1930,1931,4,writing (adaptation),The Criminal Code,False,Seton I. Miller
156,1930,1931,4,writing (adaptation),The Criminal Code,False,Fred Niblo Jr.
158,1930,1931,4,writing (adaptation),Holiday,False,Horace Jackson
159,1930,1931,4,writing (adaptation),Little Caesar,False,Francis Faragoh
160,1930,1931,4,writing (adaptation),Little Caesar,False,Robert N. Lee
161,1930,1931,4,writing (adaptation),Skippy,False,Joseph L. Mankiewicz
162,1930,1931,4,writing (adaptation),Skippy,False,Sam Mintz
163,1930,1931,4,writing (original story),The Dawn Patrol,True,John Monk Saunders
164,1930,1931,4,writing (original story),The Doorway to Hell,False,Rowland Brown
165,1930,1931,4,writing (original story),Laughter,False,Harry d'Abbadie d'Arrast
166,1930,1931,4,writing (original story),Laughter,False,Douglas Doty
167,1930,1931,4,writing (original story),Laughter,False,Donald Ogden Stewart
168,1930,1931,4,writing (original story),The Public Enemy,False,John Bright
169,1930,1931,4,writing (original story),The Public Enemy,False,Kubec Glasmon
170,1930,1931,4,writing (original story),Smart Money,False,Lucien Hubbard
171,1930,1931,4,writing (original story),Smart Money,False,Joseph Jackson
172,1931,1932,5,actor,The Champ,True,Wallace Beery
173,1931,1932,5,actor,The Guardsman,False,Alfred Lunt
174,1931,1932,5,actor,Dr. Jekyll and Mr. Hyde,True,Fredric March
175,1931,1932,5,actress,Emma,False,Marie Dressler
176,1931,1932,5,actress,The Guardsman,False,Lynn Fontanne
177,1931,1932,5,actress,The Sin of Madelon Claudet,True,Helen Hayes
178,1931,1932,5,art direction,À Nous la Liberté,False,Lazare Meerson
179,1931,1932,5,art direction,Arrowsmith,False,Richard Day
180,1931,1932,5,art direction,Transatlantic,True,Gordon Wiles
181,1931,1932,5,cinematography,Arrowsmith,False,Ray June
182,1931,1932,5,cinematography,Dr. Jekyll and Mr. Hyde,False,Karl Struss
183,1931,1932,5,cinematography,Shanghai Express,True,Lee Garmes
184,1931,1932,5,directing,Bad Girl,True,Frank Borzage
185,1931,1932,5,directing,The Champ,False,King Vidor
186,1931,1932,5,directing,Shanghai Express,False,Josef Von Sternberg
187,1931,1932,5,outstanding production,Arrowsmith,False,Samuel Goldwyn Productions
188,1931,1932,5,outstanding production,Bad Girl,False,Fox
189,1931,1932,5,outstanding production,The Champ,False,Metro-Goldwyn-Mayer
190,1931,1932,5,outstanding production,Five Star Final,False,First National
191,1931,1932,5,outstanding production,Grand Hotel,True,Metro-Goldwyn-Mayer
192,1931,1932,5,outstanding production,One Hour with You,False,Paramount Publix
193,1931,1932,5,outstanding production,Shanghai Express,False,Paramount Publix
194,1931,1932,5,outstanding production,The Smiling Lieutenant,False,Paramount Publix
195,1931,1932,5,short subject (cartoon),Flowers and Trees,True,Walt Disney
197,1931,1932,5,short subject (cartoon),It's Got Me Again,False,Leon Schlesinger
199,1931,1932,5,short subject (cartoon),Mickey's Orphans,False,Walt Disney
201,1931,1932,5,short subject (comedy),The Loud Mouth,False,Mack Sennett
203,1931,1932,5,short subject (comedy),The Music Box,True,Hal Roach
205,1931,1932,5,short subject (comedy),Scratch-As-Catch-Can,False,RKO Radio
206,1931,1932,5,short subject (comedy),Stout Hearts and Willing Hands,False,RKO Radio
207,1931,1932,5,short subject (novelty),Screen Souvenirs,False,Paramount Publix
208,1931,1932,5,short subject (novelty),Swing High,False,Metro-Goldwyn-Mayer
209,1931,1932,5,short subject (novelty),Wrestling Swordfish,True,Mack Sennett
211,1931,1932,5,writing (adaptation),Arrowsmith,False,Sidney Howard
212,1931,1932,5,writing (adaptation),Bad Girl,True,Edwin Burke
213,1931,1932,5,writing (adaptation),Dr. Jekyll and Mr. Hyde,False,Percy Heath
214,1931,1932,5,writing (adaptation),Dr. Jekyll and Mr. Hyde,False,Samuel Hoffenstein
215,1931,1932,5,writing (original story),The Champ,True,Frances Marion
216,1931,1932,5,writing (original story),Lady and Gent,False,Grover Jones
217,1931,1932,5,writing (original story),Lady and Gent,False,William Slavens McNutt
218,1931,1932,5,writing (original story),The Star Witness,False,Lucien Hubbard
219,1931,1932,5,writing (original story),What Price Hollywood?,False,Adela Rogers St. Johns
220,1931,1932,5,writing (original story),What Price Hollywood?,False,Jane Murfin
221,1932,1933,6,actor,Berkeley Square,False,Leslie Howard
222,1932,1933,6,actor,The Private Life of Henry VIII,True,Charles Laughton
223,1932,1933,6,actor,I Am a Fugitive from a Chain Gang,False,Paul Muni
224,1932,1933,6,actress,Morning Glory,True,Katharine Hepburn
225,1932,1933,6,actress,Lady for a Day,False,May Robson
226,1932,1933,6,actress,Cavalcade,False,Diana Wynyard
227,1932,1933,6,art direction,Cavalcade,True,William S. Darling
228,1932,1933,6,art direction,A Farewell to Arms,False,Hans Dreier
229,1932,1933,6,art direction,A Farewell to Arms,False,Roland Anderson
230,1932,1933,6,art direction,When Ladies Meet,False,Cedric Gibbons
231,1932,1933,6,cinematography,A Farewell to Arms,True,Charles Bryant Lang Jr.
233,1932,1933,6,cinematography,Reunion in Vienna,False,George J. Folsey
234,1932,1933,6,cinematography,The Sign of the Cross,False,Karl Struss
235,1932,1933,6,directing,Cavalcade,True,Frank Lloyd
236,1932,1933,6,directing,Lady for a Day,False,Frank Capra
237,1932,1933,6,directing,Little Women,False,George Cukor
238,1932,1933,6,outstanding production,Cavalcade,True,Fox
239,1932,1933,6,outstanding production,A Farewell to Arms,False,Paramount
240,1932,1933,6,outstanding production,42nd Street,False,Warner Bros.
241,1932,1933,6,outstanding production,I Am a Fugitive from a Chain Gang,False,Warner Bros.
242,1932,1933,6,outstanding production,Lady for a Day,False,Columbia
243,1932,1933,6,outstanding production,Little Women,False,RKO Radio
244,1932,1933,6,outstanding production,The Private Life of Henry VIII,False,London Films
245,1932,1933,6,outstanding production,She Done Him Wrong,False,Paramount
246,1932,1933,6,outstanding production,Smilin' Through,False,Metro-Goldwyn-Mayer
247,1932,1933,6,outstanding production,State Fair,False,Fox
248,1932,1933,6,short subject (cartoon),Building a Building,False,Walt Disney
250,1932,1933,6,short subject (cartoon),The Merry Old Soul,False,Walter Lantz
252,1932,1933,6,short subject (cartoon),The Three Little Pigs,True,Walt Disney
254,1932,1933,6,short subject (comedy),Mister Mugg,False,Warren Doane
256,1932,1933,6,short subject (comedy),A Preferred List,False,Louis Brock
258,1932,1933,6,short subject (comedy),So This Is Harris,True,Louis Brock
260,1932,1933,6,short subject (novelty),Krakatoa,True,Joe Rock
262,1932,1933,6,short subject (novelty),Menu,False,Pete Smith
264,1932,1933,6,short subject (novelty),The Sea,False,Educational
265,1932,1933,6,sound recording,A Farewell to Arms,True,Paramount Studio Sound Department
266,1932,1933,6,sound recording,A Farewell to Arms,True,Franklin B. Hansen
268,1932,1933,6,sound recording,42nd Street,False,Warner Bros. Studio Sound Department
269,1932,1933,6,sound recording,42nd Street,False,Nathan Levinson
271,1932,1933,6,sound recording,Gold Diggers of 1933,False,Warner Bros. Studio Sound Department
272,1932,1933,6,sound recording,Gold Diggers of 1933,False,Nathan Levinson
274,1932,1933,6,sound recording,I Am a Fugitive from a Chain Gang,False,Warner Bros. Studio Sound Department
275,1932,1933,6,sound recording,I Am a Fugitive from a Chain Gang,False,Nathan Levinson
277,1932,1933,6,writing (adaptation),Lady for a Day,False,Robert Riskin
278,1932,1933,6,writing (adaptation),Little Women,True,Victor Heerman
279,1932,1933,6,writing (adaptation),Little Women,True,Sarah Y. Mason
280,1932,1933,6,writing (adaptation),State Fair,False,Paul Green
281,1932,1933,6,writing (adaptation),State Fair,False,Sonya Levien
282,1932,1933,6,writing (original story),One Way Passage,True,Robert Lord
283,1932,1933,6,writing (original story),The Prizefighter and the Lady,False,Frances Marion
284,1932,1933,6,writing (original story),Rasputin and the Empress,False,Charles MacArthur
285,1934,1935,7,actor,It Happened One Night,True,Clark Gable
286,1934,1935,7,actor,The Affairs of Cellini,False,Frank Morgan
287,1934,1935,7,actor,The Thin Man,False,William Powell
288,1934,1935,7,actress,It Happened One Night,True,Claudette Colbert
289,1934,1935,7,actress,Of Human Bondage,False,Bette Davis
290,1934,1935,7,actress,One Night of Love,False,Grace Moore
291,1934,1935,7,actress,The Barretts of Wimpole Street,False,Norma Shearer
292,1934,1935,7,art direction,The Affairs of Cellini,False,Richard Day
293,1934,1935,7,art direction,The Gay Divorcee,False,Van Nest Polglase
294,1934,1935,7,art direction,The Gay Divorcee,False,Carroll Clark
295,1934,1935,7,art direction,The Merry Widow,True,Cedric Gibbons
296,1934,1935,7,art direction,The Merry Widow,True,Fredric Hope
297,1934,1935,7,assistant director,Cleopatra,False,Cullen Tate
298,1934,1935,7,assistant director,Imitation of Life,False,Scott Beal
299,1934,1935,7,assistant director,Viva Villa!,True,John Waters
300,1934,1935,7,cinematography,The Affairs of Cellini,False,Charles Rosher
301,1934,1935,7,cinematography,Cleopatra,True,Victor Milner
302,1934,1935,7,cinematography,Operator 13,False,George Folsey
303,1934,1935,7,directing,It Happened One Night,True,Frank Capra
304,1934,1935,7,directing,One Night of Love,False,Victor Schertzinger
305,1934,1935,7,directing,The Thin Man,False,W. S. Van Dyke
306,1934,1935,7,film editing,Cleopatra,False,Anne Bauchens
307,1934,1935,7,film editing,Eskimo,True,Conrad Nervig
308,1934,1935,7,film editing,One Night of Love,False,Gene Milford
309,1934,1935,7,music (scoring),The Gay Divorcee,False,RKO Radio Studio Music Department
310,1934,1935,7,music (scoring),The Gay Divorcee,False,Max Steiner
311,1934,1935,7,music (scoring),The Gay Divorcee,False,Kenneth Webb
312,1934,1935,7,music (scoring),The Gay Divorcee,False,Samuel Hoffenstein
313,1934,1935,7,music (scoring),The Lost Patrol,False,RKO Radio Studio Music Department
314,1934,1935,7,music (scoring),The Lost Patrol,False,Max Steiner
315,1934,1935,7,music (scoring),The Lost Patrol,False,Max Steiner
316,1934,1935,7,music (scoring),One Night of Love,True,Columbia Studio Music Department
317,1934,1935,7,music (scoring),One Night of Love,True,Louis Silvers
318,1934,1935,7,music (scoring),One Night of Love,True,Victor Schertzinger
319,1934,1935,7,music (scoring),One Night of Love,True,Gus Kahn
320,1934,1935,7,music (song),Flying Down to Rio,False,Vincent Youmans
321,1934,1935,7,music (song),Flying Down to Rio,False,Edward Eliscu
322,1934,1935,7,music (song),Flying Down to Rio,False,Gus Kahn
323,1934,1935,7,music (song),The Gay Divorcee,True,Con Conrad
324,1934,1935,7,music (song),The Gay Divorcee,True,Herb Magidson
325,1934,1935,7,music (song),She Loves Me Not,False,Ralph Rainger
326,1934,1935,7,music (song),She Loves Me Not,False,Leo Robin
327,1934,1935,7,outstanding production,The Barretts of Wimpole Street,False,Metro-Goldwyn-Mayer
328,1934,1935,7,outstanding production,Cleopatra,False,Paramount
329,1934,1935,7,outstanding production,Flirtation Walk,False,First National
330,1934,1935,7,outstanding production,The Gay Divorcee,False,RKO Radio
331,1934,1935,7,outstanding production,Here Comes the Navy,False,Warner Bros.
332,1934,1935,7,outstanding production,The House of Rothschild,False,20th Century
333,1934,1935,7,outstanding production,Imitation of Life,False,Universal
334,1934,1935,7,outstanding production,It Happened One Night,True,Columbia
335,1934,1935,7,outstanding production,One Night of Love,False,Columbia
336,1934,1935,7,outstanding production,The Thin Man,False,Metro-Goldwyn-Mayer
337,1934,1935,7,outstanding production,Viva Villa!,False,Metro-Goldwyn-Mayer
338,1934,1935,7,outstanding production,The White Parade,False,Jesse L. Lasky production company
339,1934,1935,7,short subject (cartoon),Holiday Land,False,Charles Mintz
341,1934,1935,7,short subject (cartoon),Jolly Little Elves,False,Walter Lantz
343,1934,1935,7,short subject (cartoon),The Tortoise and the Hare,True,Walt Disney
345,1934,1935,7,short subject (comedy),La Cucaracha,True,Kenneth Macgowan
347,1934,1935,7,short subject (comedy),Men in Black,False,Jules White
349,1934,1935,7,short subject (comedy),"What, No Men!",False,Warner Bros.
350,1934,1935,7,short subject (novelty),Bosom Friends,False,Skibo Productions
351,1934,1935,7,short subject (novelty),City of Wax,True,Stacy Woodard
352,1934,1935,7,short subject (novelty),City of Wax,True,Horace Woodard
354,1934,1935,7,short subject (novelty),Strikes and Spares,False,Pete Smith
356,1934,1935,7,sound recording,The Affairs of Cellini,False,United Artists Studio Sound Department
357,1934,1935,7,sound recording,The Affairs of Cellini,False,Thomas T. Moulton
359,1934,1935,7,sound recording,Cleopatra,False,Paramount Studio Sound Department
360,1934,1935,7,sound recording,Cleopatra,False,Franklin B. Hansen
362,1934,1935,7,sound recording,Flirtation Walk,False,Warner Bros.-First National Studio Sound Department
363,1934,1935,7,sound recording,Flirtation Walk,False,Nathan Levinson
365,1934,1935,7,sound recording,The Gay Divorcee,False,RKO Radio Studio Sound Department
366,1934,1935,7,sound recording,The Gay Divorcee,False,Carl Dreher
368,1934,1935,7,sound recording,Imitation of Life,False,Universal Studio Sound Department
369,1934,1935,7,sound recording,Imitation of Life,False,Theodore Soderberg
371,1934,1935,7,sound recording,One Night of Love,True,Columbia Studio Sound Department
372,1934,1935,7,sound recording,One Night of Love,True,John Livadary
374,1934,1935,7,sound recording,Viva Villa!,False,Metro-Goldwyn-Mayer Studio Sound Department
375,1934,1935,7,sound recording,Viva Villa!,False,Douglas Shearer
377,1934,1935,7,sound recording,The White Parade,False,Fox Studio Sound Department
378,1934,1935,7,sound recording,The White Parade,False,E. H. Hansen
380,1934,1935,7,writing (adaptation),It Happened One Night,True,Robert Riskin
381,1934,1935,7,writing (adaptation),The Thin Man,False,Frances Goodrich
382,1934,1935,7,writing (adaptation),The Thin Man,False,Albert Hackett
383,1934,1935,7,writing (adaptation),Viva Villa!,False,Ben Hecht
384,1934,1935,7,writing (original story),Hide-Out,False,Mauri Grashin
385,1934,1935,7,writing (original story),Manhattan Melodrama,True,Arthur Caesar
386,1934,1935,7,writing (original story),The Richest Girl in the World,False,Norman Krasna
387,1935,1936,8,actor,Mutiny on the Bounty,False,Clark Gable
388,1935,1936,8,actor,Mutiny on the Bounty,False,Charles Laughton
389,1935,1936,8,actor,The Informer,True,Victor McLaglen
390,1935,1936,8,actor,Black Fury,False,Paul Muni
391,1935,1936,8,actor,Mutiny on the Bounty,False,Franchot Tone
392,1935,1936,8,actress,Escape Me Never,False,Elisabeth Bergner
393,1935,1936,8,actress,Private Worlds,False,Claudette Colbert
394,1935,1936,8,actress,Dangerous,True,Bette Davis
395,1935,1936,8,actress,Alice Adams,False,Katharine Hepburn
396,1935,1936,8,actress,Becky Sharp,False,Miriam Hopkins
397,1935,1936,8,actress,The Dark Angel,False,Merle Oberon
398,1935,1936,8,art direction,The Dark Angel,True,Richard Day
399,1935,1936,8,art direction,The Lives of a Bengal Lancer,False,Hans Dreier
400,1935,1936,8,art direction,The Lives of a Bengal Lancer,False,Roland Anderson
401,1935,1936,8,art direction,Top Hat,False,Van Nest Polglase
402,1935,1936,8,art direction,Top Hat,False,Carroll Clark
403,1935,1936,8,assistant director,David Copperfield,False,Joseph Newman
404,1935,1936,8,assistant director,Les Miserables,False,Eric Stacey
405,1935,1936,8,assistant director,The Lives of a Bengal Lancer,True,Clem Beauchamp
406,1935,1936,8,assistant director,The Lives of a Bengal Lancer,True,Paul Wing
407,1935,1936,8,assistant director,A Midsummer Night's Dream,False,Sherry Shourds
408,1935,1936,8,cinematography,Barbary Coast,False,Ray June
409,1935,1936,8,cinematography,The Crusades,False,Victor Milner
410,1935,1936,8,cinematography,Les Miserables,False,Gregg Toland
411,1935,1936,8,cinematography,A Midsummer Night's Dream,True,Hal Mohr
412,1935,1936,8,dance direction,Gold Diggers of 1935,False,Busby Berkeley
413,1935,1936,8,dance direction,Go into Your Dance,False,Bobby Connolly
414,1935,1936,8,dance direction,Broadway Melody of 1936,True,Dave Gould
415,1935,1936,8,dance direction,King of Burlesque,False,Sammy Lee
416,1935,1936,8,dance direction,Top Hat,False,Hermes Pan
417,1935,1936,8,dance direction,Big Broadcast of 1936,False,LeRoy Prinz
418,1935,1936,8,dance direction,She,False,Benjamin Zemach
419,1935,1936,8,directing,Captain Blood,False,Michael Curtiz
420,1935,1936,8,directing,The Informer,True,John Ford
421,1935,1936,8,directing,The Lives of a Bengal Lancer,False,Henry Hathaway
422,1935,1936,8,directing,Mutiny on the Bounty,False,Frank Lloyd
423,1935,1936,8,film editing,David Copperfield,False,Robert J. Kern
424,1935,1936,8,film editing,The Informer,False,George Hively
425,1935,1936,8,film editing,Les Miserables,False,Barbara McLean
426,1935,1936,8,film editing,The Lives of a Bengal Lancer,False,Ellsworth Hoagland
427,1935,1936,8,film editing,A Midsummer Night's Dream,True,Ralph Dawson
428,1935,1936,8,film editing,Mutiny on the Bounty,False,Margaret Booth
429,1935,1936,8,music (scoring),Captain Blood,False,Warner Bros.-First National Studio Music Department
430,1935,1936,8,music (scoring),Captain Blood,False,Leo Forbstein
431,1935,1936,8,music (scoring),Captain Blood,False,Erich Wolfgang Korngold
432,1935,1936,8,music (scoring),The Informer,True,RKO Radio Studio Music Department
433,1935,1936,8,music (scoring),The Informer,True,Max Steiner
434,1935,1936,8,music (scoring),The Informer,True,Max Steiner
435,1935,1936,8,music (scoring),Mutiny on the Bounty,False,Metro-Goldwyn-Mayer Studio Music Department
436,1935,1936,8,music (scoring),Mutiny on the Bounty,False,Nat W. Finston
437,1935,1936,8,music (scoring),Mutiny on the Bounty,False,Herbert Stothart
438,1935,1936,8,music (scoring),Peter Ibbetson,False,Paramount Studio Music Department
439,1935,1936,8,music (scoring),Peter Ibbetson,False,Irvin Talbot
440,1935,1936,8,music (scoring),Peter Ibbetson,False,Ernst Toch
441,1935,1936,8,music (song),Top Hat,False,Music
442,1935,1936,8,music (song),Top Hat,False,Irving Berlin
443,1935,1936,8,music (song),Roberta,False,Jerome Kern
444,1935,1936,8,music (song),Roberta,False,Dorothy Fields
445,1935,1936,8,music (song),Roberta,False,Jimmy McHugh
446,1935,1936,8,music (song),Gold Diggers of 1935,True,Harry Warren
447,1935,1936,8,music (song),Gold Diggers of 1935,True,Al Dubin
448,1935,1936,8,outstanding production,Alice Adams,False,RKO Radio
